[4; 5)|[1; 1,5)|B
[4; 5)|[1,5; 2)|B
[4; 5)|[1; 1,5)|B
[4; 5)|[1,5; 2)|B
[5; 6)|[1,5; 2)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[3; 4)|[1; 1,5)|B
[4; 5)|[1,5; 2)|B
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[6; 7)|[2,5; 3)|C
[5; 6)|[1,5; 2)|C
[5; 6)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[4; 5)|[1,5; 2)|B
[5; 6)|[2; 2,5)|C
[5; 6)|[2; 2,5)|C
[4; 5)|[1; 1,5)|B
[5; 6)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[6; 7)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[6; 7)|[2; 2,5)|C
[4; 5)|[1,5; 2)|C
[1; 2)|[0; 0,5)|A
[6; 7)|[1,5; 2)|C
[4; 5)|[1; 1,5)|B
[4; 5)|[1,5; 2)|B
[4; 5)|[1,5; 2)|B
[5; 6)|[1,5; 2)|C
[6; 7)|[1,5; 2)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[4; 5)|[1; 1,5)|B
[4; 5)|[1,5; 2)|B
[6; 7)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[5; 6)|[2; 2,5)|C
[4; 5)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[4; 5)|[1; 1,5)|B
[5; 6)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[5; 6)|[1,5; 2)|B
[4; 5)|[1; 1,5)|B
[5; 6)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[5; 6)|[1,5; 2)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[4; 5)|[1; 1,5)|B
[4; 5)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[5; 6)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[4; 5)|[1,5; 2)|B
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[4; 5)|[1,5; 2)|B
[3; 4)|[1; 1,5)|B
[5; 6)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[4; 5)|[1; 1,5)|B
[4; 5)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[5; 6)|[2; 2,5)|C
[5; 6)|[2,5; 3)|C
[1; 2)|[0; 0,5)|A
[4; 5)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[3; 4)|[1; 1,5)|B
[4; 5)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[1; 2)|[0,5; 1)|A
[3; 4)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[3; 4)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[5; 6)|[1,5; 2)|C
[3; 4)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[4; 5)|[1; 1,5)|B
[4; 5)|[1,5; 2)|C
[6; 7)|[1,5; 2)|C
[5; 6)|[1,5; 2)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[4; 5)|[1; 1,5)|B
[3; 4)|[1; 1,5)|B
[4; 5)|[1; 1,5)|B
[5; 6)|[2; 2,5)|C
[6; 7)|[2; 2,5)|C
[3; 4)|[1; 1,5)|B
[3; 4)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[6; 7)|[2,5; 3)|C
[5; 6)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[4; 5)|[1; 1,5)|B
[1; 2)|[0; 0,5)|A
[5; 6)|[1,5; 2)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[4; 5)|[1; 1,5)|B
[3; 4)|[1; 1,5)|B
[3; 4)|[1; 1,5)|B
[4; 5)|[1,5; 2)|B
[4; 5)|[1; 1,5)|B
[1; 2)|[0,5; 1)|A
[4; 5)|[1,5; 2)|B
[5; 6)|[1,5; 2)|C
[5; 6)|[2; 2,5)|C
[5; 6)|[1,5; 2)|C
[6; 7)|[2; 2,5)|C
[1; 2)|[0; 0,5)|A
[5; 6)|[2; 2,5)|C
[4; 5)|[2; 2,5)|C
[5; 6)|[2; 2,5)|C
[5; 6)|[1,5; 2)|B
[4; 5)|[1,5; 2)|B
[5; 6)|[2; 2,5)|C
[6; 7)|[2; 2,5)|C
[5; 6)|[2; 2,5)|C
[4; 5)|[1,5; 2)|B
[5; 6)|[1; 1,5)|C
[1; 2)|[0; 0,5)|A
[1; 2)|[0; 0,5)|A
[5; 6)|[1,5; 2)|C
[4; 5)|[1,5; 2)|C
[4; 5)|[1; 1,5)|B
[5; 6)|[2; 2,5)|C
[5; 6)|[1,5; 2)|C
[4; 5)|[1,5; 2)|C
[4; 5)|[1,5; 2)|C
[4; 5)|[1; 1,5)|B
[5; 6)|[1,5; 2)|C
[4; 5)|[1; 1,5)|B
[5; 6)|[2; 2,5)|C
[4; 5)|[1; 1,5)|B
